__symbol__,__occurence__
Ŋ,1637
g,46552
i,148147
m,118938
b,68326
 ,771240
n,203296
ɛ,268143
̀,39139
S,17037
ɔ,140718
̧,107674
k,112082
u,55764
a,302928
ŋ,49522
d,46364
e,111276
y,34550
w,61128
s,56310
ù,3864
",",49817
o,94032
t,75993
p,19066
z,26764
ɗ,19838
-,73328
f,14836
r,47217
.,32483
Ɔ,397
ì,2591
:,7068
«,6791
!,2482
»,5814
Ɓ,3337
ɓ,21301
',20736
H,2333
;,7985
́,48556
G,9191
í,24993
h,34211
Z,847
O,3750
‘,21365
N,11018
Y,1419
l,21561
Ɛ,3610
ú,7965
é,4050
ó,8108
M,8746
’,12346
á,9420
K,5100
A,26238
W,13199
ò,1671
E,3408
P,1011
L,824
T,2352
B,2947
à,7340
?,3048
v,1957
Ɗ,454
I,3095
(,79
),79
1,72
3,85
0,195
8,38
9,29
5,91
7,63
2,113
4,68
6,68
J,6200
_,3304
D,2456
F,701
R,615
U,154
è,450
‹,854
›,838
*,263
c,86
j,189
À,3
[,23
],23
V,4
Á,3
Ú,1
q,3
C,3
Í,18
É,2
Ó,1
